date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:18:27	63014/63014	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Jun%202026%2008:58:23%20GMT	https://mainfolder.com/field-trips.html	C:/My%20Web%20Sites/Jain2/mainfolder.com/field-trips.html	(from https://mainfolder.com/index.html)
17:18:27	63888/63888	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Jun%202026%2008:58:25%20GMT	https://mainfolder.com/summer-camp-and-sports-training.html	C:/My%20Web%20Sites/Jain2/mainfolder.com/summer-camp-and-sports-training.html	(from https://mainfolder.com/index.html)
17:18:27	56776/56776	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20Jun%202026%2008:58:23%20GMT	https://mainfolder.com/contact-us.html	C:/My%20Web%20Sites/Jain2/mainfolder.com/contact-us.html	(from https://mainfolder.com/index.html)
17:18:27	55283/55283	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2016%20Jun%202026%2008:58:26%20GMT	https://mainfolder.com/assets/img/logo.svg	C:/My%20Web%20Sites/Jain2/mainfolder.com/assets/img/logo.svg	(from https://mainfolder.com/index.html)
17:18:27	1191/1191	---M--	200	added ('OK')	image/png	date:Tue,%2016%20Jun%202026%2008:58:26%20GMT	https://mainfolder.com/assets/img/logo_bg_mask.png	C:/My%20Web%20Sites/Jain2/mainfolder.com/assets/img/logo_bg_mask.png	(from https://mainfolder.com/index.html)
17:18:28	1650535/1650535	---M--	200	added ('OK')	image/jpeg	date:Tue,%2016%20Jun%202026%2008:58:30%20GMT	https://mainfolder.com/assets/img/hero/1.jpg	C:/My%20Web%20Sites/Jain2/mainfolder.com/assets/img/hero/1.jpg	(from https://mainfolder.com/index.html)
17:18:31	205881/205881	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jul%202026%2011:48:42%20GMT	https://mainfolder.com/admissions-2026-27/	C:/My%20Web%20Sites/Jain2/mainfolder.com/admissions-2026-27/index.html	(from https://mainfolder.com/index.html)
17:18:31	682653/682653	---M--	200	added ('OK')	image/png	date:Tue,%2016%20Jun%202026%2008:58:33%20GMT	https://mainfolder.com/assets/img/shape/hero-1-shape.png	C:/My%20Web%20Sites/Jain2/mainfolder.com/assets/img/shape/hero-1-shape.png	(from https://mainfolder.com/index.html)
17:18:31	1454378/1454378	---M--	200	added ('OK')	image/jpeg	date:Tue,%2016%20Jun%202026%2008:58:30%20GMT	https://mainfolder.com/assets/img/hero/3.jpg	C:/My%20Web%20Sites/Jain2/mainfolder.com/assets/img/hero/3.jpg	(from https://mainfolder.com/index.html)
17:18:31	6305/6305	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2016%20Jun%202026%2008:58:30%20GMT	https://mainfolder.com/assets/img/icon/feature_1_1.svg	C:/My%20Web%20Sites/Jain2/mainfolder.com/assets/img/icon/feature_1_1.svg	(from https://mainfolder.com/index.html)
